company_id,company_name,exchange_ticker,industry,is_provisional,green_bond_issuer,classification,bond_isin,issue_date,amount_currency,label,icma_structure,standard_claimed,external_reviewer,review_type,framework_url,allocation_report,sgx_recognised,profitability_flag,fy_minus1_net_income,fy_minus2_net_income,operating_cf_trend,traction_flag,traction_evidence,source_url_1,source_url_2,verified_by,access_date,notes
IDX:BBNI,Bank Negara Indonesia (BNI),BBNI,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
IDX:BBRI,Bank Rakyat Indonesia (BRI),BBRI,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
IDX:BMRI,Bank Mandiri,BMRI,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
IDX:BRNE,Borneo Energy,BRNE,Energy — Power & Renewables,TRUE,Y,labelled_unreviewed,,2024-10-15,USD 175m,green,standard_use_of_proceeds,ICMA GBP,,,,N,N,profitable,MOCK,MOCK,improving,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
IDX:GRMB,Garuda Mandiri Bank,GRMB,Financials — Banks,TRUE,N,none,,,,,,,,,,,N,loss_making,MOCK,MOCK,flat,Y,MOCK — revenue growth two consecutive halves,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
IDX:JKLD,Jakarta Land,JKLD,Real Estate,TRUE,Y,labelled_unreviewed,,2020-07-15,USD 250m,green,standard_use_of_proceeds,ICMA GBP,,,,N,N,loss_making,MOCK,MOCK,flat,Y,MOCK — revenue growth two consecutive halves,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
IDX:KLBF,Kalbe Farma,KLBF,Health Care — Pharmaceuticals,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
IDX:NUSA,NusaFoods,NUSA,Consumer Staples,TRUE,N,none,,,,,,,,,,,N,profitable,MOCK,MOCK,improving,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
IDX:SATB,SatBank,SATB,Financials — Banks,TRUE,Y,labelled_reviewed,,2021-07-15,USD 175m,green,standard_use_of_proceeds,ICMA GBP,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,improving,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
IDX:SMGR,Semen Indonesia (SIG),SMGR,Materials — Construction Materials (Cement),TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
IDX:TBIG,Tower Bersama Infrastructure,TBIG,Communication Services — Telecom Towers,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
IDX:TPIA,Chandra Asri Pacific,TPIA,Materials — Chemicals,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:1023,CIMB Group Holdings,1023,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:1155,Malayan Banking (Maybank),1155,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:1961,IOI Corporation,1961,Consumer Staples — Palm Oil Plantations,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:2488,Alliance Bank Malaysia,2488,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:3816,MISC Berhad,3816,Industrials — Marine Shipping & Logistics,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:4863,Telekom Malaysia,4863,Communication Services — Telecom,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:5183,Petronas Chemicals Group,5183,Materials — Chemicals,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:5211,Sunway Berhad,5211,Industrials — Property & Construction Conglomerate,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:5347,Tenaga Nasional,5347,Utilities — Electric Power,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:7113,Top Glove Corporation,7113,Health Care — Medical Gloves,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:8869,Press Metal Aluminium Holdings,8869,Materials — Aluminium,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
KLSE:KLCT,KLCC Towers,KLCT,Real Estate,TRUE,Y,labelled_reviewed,,2024-09-15,USD 100m,green,standard_use_of_proceeds,ICMA GBP,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
KLSE:SLTB,Selat Bank,SLTB,Financials — Banks,TRUE,N,none,,,,,,,,,,,N,profitable,MOCK,MOCK,improving,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
KLSE:SLTP,Selat Power,SLTP,Energy — Power & Renewables,TRUE,N,none,,,,,,,,,,,N,loss_making,MOCK,MOCK,flat,N,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
KLSE:SURP,Suria Power,SURP,Energy — Power & Renewables,TRUE,Y,labelled_unreviewed,,2024-01-15,USD 250m,green,standard_use_of_proceeds,ICMA GBP,,,,N,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
KLSE:TBFD,Tiger Bay Foods,TBFD,Consumer Staples,TRUE,N,none,,,,,,,,,,,N,loss_making,MOCK,MOCK,flat,Y,MOCK — revenue growth two consecutive halves,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
KLSE:TBTL,Tiger Bay Telecom,TBTL,Communication Services — Telecom,TRUE,Y,labelled_reviewed,,2021-11-15,USD 225m,green,standard_use_of_proceeds,ICMA GBP,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,improving,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
PSE:AC,Ayala Corporation,AC,Industrials — Conglomerate,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
PSE:AEV,Aboitiz Equity Ventures,AEV,Industrials — Conglomerate,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
PSE:ALI,Ayala Land,ALI,Real Estate — Developers,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
PSE:BPI,Bank of the Philippine Islands,BPI,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
PSE:BYNP,Bayan Power,BYNP,Energy — Power & Renewables,TRUE,Y,labelled_reviewed,,2023-08-15,USD 100m,green,standard_use_of_proceeds,ICMA GBP,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
PSE:BYNR,Bayan Realty,BYNR,Real Estate,TRUE,N,none,,,,,,,,,,,N,loss_making,MOCK,MOCK,improving,Y,MOCK — revenue growth two consecutive halves,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
PSE:GLO,Globe Telecom,GLO,Communication Services — Telecom,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
PSE:JFC,Jollibee Foods Corporation,JFC,Consumer Discretionary — Restaurants,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
PSE:LUNA,LunaComm,LUNA,Communication Services — Telecom,TRUE,Y,cbi_certified,,2019-07-15,USD 100m,green,standard_use_of_proceeds,CBI Climate Bonds Standard,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
PSE:MNHV,Manila Harvest,MNHV,Consumer Staples,TRUE,N,none,,,,,,,,,,,N,profitable,MOCK,MOCK,improving,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
PSE:MWC,Manila Water Company,MWC,Utilities — Water,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
PSE:PRLP,Pearl Provisions,PRLP,Consumer Staples,TRUE,N,none,,,,,,,,,,,N,loss_making,MOCK,MOCK,improving,Y,MOCK — revenue growth two consecutive halves,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
PSE:PRLS,Pearl Savings,PRLS,Financials — Banks,TRUE,Y,cbi_certified,,2021-04-15,USD 125m,green,standard_use_of_proceeds,CBI Climate Bonds Standard,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,improving,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
PSE:SM,SM Investments Corporation,SM,Industrials — Conglomerate,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
PSE:TEL,PLDT Inc.,TEL,Communication Services — Telecom,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:AOT,Airports of Thailand,AOT,Industrials — Airports,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:AWC,Asset World Corp,AWC,Real Estate — Hospitality & Commercial Property,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:BCP,Bangchak Corporation,BCP,Energy — Oil Refining & Marketing,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:BKHT,Bangkok Heights,BKHT,Real Estate,TRUE,N,none,,,,,,,,,,,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
SET:CPN,Central Pattana,CPN,Real Estate — Retail Malls,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:CRC,Central Retail Corporation,CRC,Consumer Discretionary — Retail,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:DELTA,Delta Electronics (Thailand),DELTA,Technology — Electronic Components,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:FRHV,FreshHarvest,FRHV,Consumer Staples,TRUE,Y,cbi_certified,,2024-09-15,USD 275m,green,standard_use_of_proceeds,CBI Climate Bonds Standard,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
SET:IVL,Indorama Ventures,IVL,Materials — Chemicals (PET/Polyester),TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:KBANK,Kasikornbank,KBANK,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:MKCB,Mekong Commercial Bank,MKCB,Financials — Banks,TRUE,Y,cbi_certified,,2020-05-15,USD 200m,green,standard_use_of_proceeds,CBI Climate Bonds Standard,MOCK reviewer (fictional company),SPO,,Y,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
SET:SCGP,SCG Packaging,SCGP,Materials — Containers & Packaging,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:SMCN,SiamConnect,SMCN,Communication Services — Telecom,TRUE,N,none,,,,,,,,,,,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
SET:SMPN,Sampan Bank,SMPN,Financials — Banks,TRUE,N,none,,,,,,,,,,,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
SET:THSL,ThaiSolar,THSL,Energy — Power & Renewables,TRUE,N,none,,,,,,,,,,,N,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
SET:TU,Thai Union Group,TU,Consumer Staples — Packaged Seafood / Food,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SET:WHA,WHA Corporation,WHA,Industrials — Industrial Estates & Logistics/Utilities,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SGX:9CI,CapitaLand Investment,9CI,Real Estate — Investment Management & Developer,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SGX:A17U,CapitaLand Ascendas REIT,A17U,Real Estate — Industrial & Logistics REIT,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SGX:AJBU,Keppel DC REIT,AJBU,Real Estate — Data Centre REIT,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SGX:BN4,Keppel Ltd,BN4,Industrials — Infrastructure & Asset Management,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SGX:C09,City Developments (CDL),C09,Real Estate — Diversified Developer,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SGX:C52,ComfortDelGro Corporation,C52,Industrials — Land Transport Operator,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SGX:D05,DBS Group Holdings,D05,Financials — Banks,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SGX:DBKO,DemoBank,DBKO,Financials — Banks,TRUE,Y,labelled_unreviewed,,2023-02-15,USD 100m,green,standard_use_of_proceeds,ICMA GBP,,,,N,Y,profitable,MOCK,MOCK,flat,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
SGX:F34,Wilmar International,F34,Consumer Staples — Agribusiness,TRUE,unknown,unknown,,,,,,,,,,,,unknown,,,,n/a,n/a,,,,,AWAITING VERIFICATION — no green-bond or profitability field has been verified from primary sources for this issuer. Placeholder row so the join succeeds; replaced wholesale by the verified file at Phase B1.
SGX:GRGD,GreenGrid,GRGD,Energy — Power & Renewables,TRUE,N,none,,,,,,,,,,,N,loss_making,MOCK,MOCK,improving,Y,MOCK — revenue growth two consecutive halves,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
SGX:LNCP,Lion City Provisions,LNCP,Consumer Staples,TRUE,N,none,,,,,,,,,,,N,profitable,MOCK,MOCK,improving,n/a,n/a,,,generated (build_metadata_mock.py),2026-08-15,"MOCK ROW — fictional demo company; values generated deterministically from the ticker. Illustrative only, not disclosure and not a claim about any real issuer."
